_id,city
01008,BLANDFORD
01012,CHESTERFIELD
01007,BELCHERTOWN
01010,BRIMFIELD
01013,CHICOPEE
01022,WESTOVER AFB
01020,CHICOPEE
01026,CUMMINGTON
01027,MOUNT TOM
01002,CUSHMAN
01028,EAST LONGMEADOW
01011,CHESTER
01030,FEEDING HILLS
01005,BARRE
01032,GOSHEN
01031,GILBERTVILLE
01033,GRANBY
01001,AGAWAM
